source_beat_id,production_beat_id,coverage_slot_id,media_plan_asset_id,output_path
B001,B001,B001,B001,assets/media/001_hook/B001_B001-s0.mp4
B001,B001,B001,B001,assets/media/001_hook/B001_B001-s1.mp4
B001,B001,B001,B001,assets/media/001_hook/B001_B001-s2.mp4
,B002,B002,B002,assets/media/001_hook/B002.mp4
B003,B003,B003,B003,assets/media/002_proof/B003_B003-s0.mp4
B003,B003,B003,B003,assets/media/002_proof/B003_B003-s1.mp4
B003,B003,B003,B003,assets/media/002_proof/B003_B003-s2.mp4
B003,B003,B003,B003,assets/media/002_proof/B003_B003-s3.mp4
,B004,B004,B004,assets/media/002_proof/B004.mp4
B005,B005,B005,B005,assets/media/002_proof/B005_B005-s0.mp4
B005,B005,B005,B005,assets/media/002_proof/B005_B005-s1.mp4
B005,B005,B005,B005,assets/media/002_proof/B005_B005-s2.mp4
B005,B005,B005,B005,assets/media/002_proof/B005_B005-s3.mp4
,B006a,B006a,B006a,assets/media/003_flip/B006a.mp4
,B006b,B006b,B006b,assets/media/003_flip/B006b.mp4
B007,B007,B007,B007,assets/media/003_flip/B007_B007-s0.mp4
B007,B007,B007,B007,assets/media/003_flip/B007_B007-s1.mp4
,B008a,B008a,B008a,assets/media/003_flip/B008a.mp4
,B008b,B008b,B008b,assets/media/003_flip/B008b.mp4
,B008c,B008c,B008c,assets/media/003_flip/B008c.mp4
B009,B009,B009,B009,assets/media/004_takeaway_cta/B009_B009-s0.mp4
B009,B009,B009,B009,assets/media/004_takeaway_cta/B009_B009-s1.mp4
B009,B009,B009,B009,assets/media/004_takeaway_cta/B009_B009-s2.mp4
B009,B009,B009,B009,assets/media/004_takeaway_cta/B009_B009-s3.mp4
,B010a,B010a,B010a,assets/media/004_takeaway_cta/B010a.mp4
,B010b,B010b,B010b,assets/media/004_takeaway_cta/B010b.mp4
