path,file_type,exists_missing,size_bytes,modified_time,duration_sec,stream_summary,referenced_by,status
Videos/Projects/using_ai_to_help_memory_retention_short/_tmp/16x9/cont_concat.txt,txt,exists,1110,2026-06-14T09:49:40.667188+08:00,,,,unreferenced-intermediate
Videos/Projects/using_ai_to_help_memory_retention_short/_tmp/16x9/cont_joined.mp4,mp4,exists,46861979,2026-06-14T09:49:44.013609+08:00,146.560000,video=h264 1920x1080 fps=24/1 frames=2000 stream_dur=83.333333; audio=aac 48000Hz 2ch stream_dur=146.560000,,unreferenced-intermediate
Videos/Projects/using_ai_to_help_memory_retention_short/_tmp/16x9/cont_seg_0.mp4,mp4,exists,3334655,2026-06-14T09:49:18.294162+08:00,8.041667,video=h264 1920x1080 fps=24/1 frames=193 stream_dur=8.041667,,unreferenced-intermediate
Videos/Projects/using_ai_to_help_memory_retention_short/_tmp/16x9/cont_seg_1.mp4,mp4,exists,2729773,2026-06-14T09:49:20.002192+08:00,4.666667,video=h264 1920x1080 fps=24/1 frames=112 stream_dur=4.666667,,unreferenced-intermediate
Videos/Projects/using_ai_to_help_memory_retention_short/_tmp/16x9/cont_seg_2.mp4,mp4,exists,3090397,2026-06-14T09:49:22.221230+08:00,7.041667,video=h264 1920x1080 fps=24/1 frames=169 stream_dur=7.041667,,unreferenced-intermediate
Videos/Projects/using_ai_to_help_memory_retention_short/_tmp/16x9/cont_seg_3.mp4,mp4,exists,2486053,2026-06-14T09:49:23.741256+08:00,5.750000,video=h264 1920x1080 fps=24/1 frames=138 stream_dur=5.750000,,unreferenced-intermediate
Videos/Projects/using_ai_to_help_memory_retention_short/_tmp/16x9/cont_seg_4.mp4,mp4,exists,4962520,2026-06-14T09:49:26.359302+08:00,7.041667,video=h264 1920x1080 fps=24/1 frames=169 stream_dur=7.041667,,unreferenced-intermediate
Videos/Projects/using_ai_to_help_memory_retention_short/_tmp/16x9/cont_seg_5.mp4,mp4,exists,5934260,2026-06-14T09:49:29.530357+08:00,10.625000,video=h264 1920x1080 fps=24/1 frames=255 stream_dur=10.625000,,unreferenced-intermediate
Videos/Projects/using_ai_to_help_memory_retention_short/_tmp/16x9/cont_seg_6.mp4,mp4,exists,2850286,2026-06-14T09:49:31.509392+08:00,7.041667,video=h264 1920x1080 fps=24/1 frames=169 stream_dur=7.041667,,unreferenced-intermediate
Videos/Projects/using_ai_to_help_memory_retention_short/_tmp/16x9/cont_seg_7.mp4,mp4,exists,6637624,2026-06-14T09:49:34.834449+08:00,11.041667,video=h264 1920x1080 fps=24/1 frames=265 stream_dur=11.041667,,unreferenced-intermediate
Videos/Projects/using_ai_to_help_memory_retention_short/_tmp/16x9/cont_seg_8.mp4,mp4,exists,4568020,2026-06-14T09:49:37.340493+08:00,11.041667,video=h264 1920x1080 fps=24/1 frames=265 stream_dur=11.041667,,unreferenced-intermediate
Videos/Projects/using_ai_to_help_memory_retention_short/_tmp/16x9/cont_seg_9.mp4,mp4,exists,6704339,2026-06-14T09:49:40.655550+08:00,11.041667,video=h264 1920x1080 fps=24/1 frames=265 stream_dur=11.041667,,unreferenced-intermediate
Videos/Projects/using_ai_to_help_memory_retention_short/_tmp/16x9/cont_visual.mp4,mp4,exists,43290892,2026-06-14T09:49:40.845554+08:00,83.333333,video=h264 1920x1080 fps=24/1 frames=2000 stream_dur=83.333333,,unreferenced-intermediate
Videos/Projects/using_ai_to_help_memory_retention_short/_tmp/9x16/cont_concat.txt,txt,exists,1110,2026-06-14T09:50:16.466567+08:00,,,,unreferenced-intermediate
Videos/Projects/using_ai_to_help_memory_retention_short/_tmp/9x16/cont_joined.mp4,mp4,exists,56080634,2026-06-14T09:50:19.789231+08:00,146.560000,video=h264 1080x1920 fps=24/1 frames=2000 stream_dur=83.333333; audio=aac 48000Hz 2ch stream_dur=146.560000,,unreferenced-intermediate
Videos/Projects/using_ai_to_help_memory_retention_short/_tmp/9x16/cont_seg_0.mp4,mp4,exists,4227500,2026-06-14T09:49:51.215734+08:00,8.041667,video=h264 1080x1920 fps=24/1 frames=193 stream_dur=8.041667,,unreferenced-intermediate
Videos/Projects/using_ai_to_help_memory_retention_short/_tmp/9x16/cont_seg_1.mp4,mp4,exists,2439944,2026-06-14T09:49:52.917764+08:00,4.666667,video=h264 1080x1920 fps=24/1 frames=112 stream_dur=4.666667,,unreferenced-intermediate
Videos/Projects/using_ai_to_help_memory_retention_short/_tmp/9x16/cont_seg_2.mp4,mp4,exists,3197300,2026-06-14T09:49:55.257804+08:00,7.041667,video=h264 1080x1920 fps=24/1 frames=169 stream_dur=7.041667,,unreferenced-intermediate
