segment_id,beat_id,storyboard_duration_sec,timing_start_sec,timing_end_sec,timing_duration_sec,media_plan_duration_sec,audio_slice_path,audio_slice_duration_sec,audio_slice_sha256_actual,audio_slice_sha256_recorded,rendered_video_path,rendered_video_duration_sec,rendered_video_has_video,rendered_video_has_audio,rendered_video_frame_count,manifest_start_sec,manifest_end_sec,manifest_duration_sec,expected_assembly_start_sec,expected_assembly_end_sec,actual_visual_start_sec,actual_visual_end_sec,actual_visual_duration_sec,final_timeline_coverage,audio_policy,asset_type,model,prompt_class,expected_graphics_overlay,expected_music_state,media_qa_status,media_qa_issues,generation_logged,mismatch_notes,prompt_text_surface_terms
001_hook,B001,8.75,0.0,13.994,13.994,8.75,narration/slices/B001.mp3,10.004898,f18e853a97531ae6b7255921ba8a5c11a8bbfed1d06e5c4641b5667dbba25e82,f18e853a97531ae6b7255921ba8a5c11a8bbfed1d06e5c4641b5667dbba25e82,assets/media/001_hook/B001.mp4,7.081995,True,True,169,,,,0.0,13.994,0.0,8.041667,8.041667,insufficient,keep_lipsync,generated_video,seedance_2_0,james_studio_lipsync,"{""required"": true, ""layout"": ""lower_third"", ""text"": ""COGNITIVE WITHDRAWAL"", ""timing"": ""on_spoken_line""}",required by requested output; absent from manifest; assembly disabled,fail,LIPSYNC: audio duration 7.082s matches neither speech_len=13.994 nor padded_len=10 nor lipsync_max_dur=10 (±0.15s) | LIPSYNC: clip video duration 7.082s < slice duration 10.000s (clip too short to carry the slice),False,storyboard_vs_timing=+5.244s | visual_shortfall=5.952s | speech_truncated_for_seedance=3.994s | missing_generation_provenance | qa_beat_failed_but_aggregate_passed | required_overlay_not_rendered,"book, notebook, UI"
001_hook,B002,4,13.994,18.658,4.664,4,narration/slices/B002.mp3,5.01551,6f2856dd09ae929d9efbd74e75c69db345e95a253e99b007a9211f56d9697d39,6f2856dd09ae929d9efbd74e75c69db345e95a253e99b007a9211f56d9697d39,assets/media/001_hook/B002.mp4,4.041667,True,False,97,,,,13.994,18.658,8.041667,12.708334,4.666667,full,keep_lipsync,generated_video,seedance_2_0,james_studio_lipsync,none,required by requested output; absent from manifest; assembly disabled,fail,LIPSYNC: hero_lipsync clip MUST have an audio stream (silent mouth) | LIPSYNC: clip video duration 4.042s < slice duration 5.000s (clip too short to carry the slice),False,storyboard_vs_timing=+0.664s | missing_generation_provenance | qa_beat_failed_but_aggregate_passed,book
002_proof,B003,6,18.658,37.552,18.894,6,,,,,assets/media/002_proof/B003.mp4,6.041667,True,False,145,,,,18.658,37.552,12.708334,19.750001,7.041667,insufficient,strip,generated_video,kling3_0,environment_broll,"{""required"": true, ""layout"": ""stat_callout"", ""text"": ""RCT 2025 — Barcaui / ScienceDirect"", ""timing"": ""on_spoken_line""}",required by requested output; absent from manifest; assembly disabled,pass,,False,storyboard_vs_timing=+12.894s | visual_shortfall=11.852s | missing_generation_provenance | required_overlay_not_rendered,"book, laptop, screen, text"
002_proof,B004,4,37.552,43.313,5.761,4,narration/slices/B004.mp3,6.008163,1e873be79c04b9a074e0bfab87a7dd6905579167b5d302daae2dc99a461a9a41,1e873be79c04b9a074e0bfab87a7dd6905579167b5d302daae2dc99a461a9a41,assets/media/002_proof/B004.mp4,6.082993,True,True,145,,,,37.552,43.313,19.750001,25.500001,5.75,full,keep_lipsync,generated_video,seedance_2_0,james_studio_lipsync,none,required by requested output; absent from manifest; assembly disabled,pass,,True,storyboard_vs_timing=+1.761s,"book, UI"
002_proof,B005,6,43.313,64.914,21.601,6,,,,,assets/media/002_proof/B005.mp4,6.041667,True,False,145,,,,43.313,64.914,25.500001,32.541668,7.041667,insufficient,strip,generated_video,kling3_0,tactical_insert,"{""required"": true, ""layout"": ""key_line"", ""text"": ""DIGITAL AMNESIA"", ""timing"": ""on_spoken_line""}",required by requested output; absent from manifest; assembly disabled,pass,,True,storyboard_vs_timing=+15.601s | visual_shortfall=14.559s | required_overlay_not_rendered,"book, notebook, page, text"
003_flip,B006,6.67,64.914,75.54,10.626,6.67,narration/slices/B006.mp3,10.004898,04f82cbf1de52834fd09491a4ed2597719fe4b5b19c6f8ffb96c75f501b335aa,04f82cbf1de52834fd09491a4ed2597719fe4b5b19c6f8ffb96c75f501b335aa,assets/media/003_flip/B006.mp4,10.1,True,True,241,,,,64.914,75.54,32.541668,43.166668,10.625,full,keep_lipsync,generated_video,seedance_2_0,james_studio_lipsync,none,required by requested output; absent from manifest; assembly disabled,pass,,True,storyboard_vs_timing=+3.956s | speech_truncated_for_seedance=0.626s,"book, UI"
003_flip,B007,6,75.54,86.627,11.087,6,,,,,assets/media/003_flip/B007.mp4,6.041667,True,False,145,,,,75.54,86.627,43.166668,50.208335,7.041667,insufficient,strip,generated_video,kling3_0,tactical_insert,"{""required"": true, ""layout"": ""lower_third"", ""text"": ""ACTIVE RETRIEVAL"", ""timing"": ""on_spoken_line""}",required by requested output; absent from manifest; assembly disabled,pass,,True,storyboard_vs_timing=+5.087s | visual_shortfall=4.045s | required_overlay_not_rendered,"book, notebook, laptop, screen, text"
003_flip,B008,10,86.627,110.516,23.889,10,narration/slices/B008.mp3,10.004898,9e8f57b309a76c90a811e7bd5e910a9c142394a6cbc1baf55ec6553f6524ec7d,9e8f57b309a76c90a811e7bd5e910a9c142394a6cbc1baf55ec6553f6524ec7d,assets/media/003_flip/B008.mp4,10.1,True,True,241,,,,86.627,110.516,50.208335,61.250002,11.041667,insufficient,keep_lipsync,generated_video,seedance_2_0,james_studio_lipsync,"{""required"": true, ""layout"": ""key_line"", ""text"": ""The variable: is your brain working during the interaction?"", ""timing"": ""on_spoken_line""}",required by requested output; absent from manifest; assembly disabled,pass,,True,storyboard_vs_timing=+13.889s | visual_shortfall=12.847s | speech_truncated_for_seedance=13.889s | required_overlay_not_rendered,"book, UI"
004_takeaway_cta,B009,10,110.516,133.938,23.422,10,narration/slices/B009.mp3,10.004898,7d78b07d78760fe614071f2e73204720541ccc51e123e76190bf7f7aa86ffef0,7d78b07d78760fe614071f2e73204720541ccc51e123e76190bf7f7aa86ffef0,assets/media/004_takeaway_cta/B009.mp4,10.1,True,True,241,,,,110.516,133.938,61.250002,72.291669,11.041667,insufficient,keep_lipsync,generated_video,seedance_2_0,james_studio_lipsync,none,required by requested output; absent from manifest; assembly disabled,pass,,True,storyboard_vs_timing=+13.422s | visual_shortfall=12.380s | speech_truncated_for_seedance=13.422s,"book, notebook"
004_takeaway_cta,B010,7.92,133.938,146.599,12.661,7.92,narration/slices/B010.mp3,10.004898,20fda7d44de189967987b406dbdeff5d9b92bc73f67e43fb7e083a1f4cb6df67,20fda7d44de189967987b406dbdeff5d9b92bc73f67e43fb7e083a1f4cb6df67,assets/media/004_takeaway_cta/B010.mp4,10.1,True,True,241,,,,133.938,146.599,72.291669,83.333336,11.041667,insufficient,keep_lipsync,generated_video,seedance_2_0,james_studio_lipsync,"{""required"": true, ""layout"": ""side_by_side"", ""text"": ""W — Withdrawal  |  D — Deposit"", ""timing"": ""on_spoken_line""}",required by requested output; absent from manifest; assembly disabled,pass,,True,storyboard_vs_timing=+4.741s | visual_shortfall=1.619s | speech_truncated_for_seedance=2.661s | required_overlay_not_rendered,book
